ID,Sesion,Nivel,Num intentos,Tiempo inicio,Tiempo final,Tiempo duracion,Completado,Pasos planificados,Pasos ejecutados,Errores ejecucion,Num dormir planificado,Correctos dormir,Errores dormir,Num ubicacion planificado,Correctos ubicacion,Errores ubicacion,Paradas posibles,Paradas realizadas,Errores parada por tiempo excedido,Num errores por tiempo excedido,% Aciertos,% Mal
10,1,1,7,15:04:04.517,15:20:46.000,1001.483,False,14,11,3,10,9,1,4,2,2,12,6,0,0,78.57142857142857,21.42857142857143
10,3,1,1,14:15:08.014,14:18:26.124,198.11,True,4,4,0,2,2,0,2,2,0,4,3,0,0,100.0,0.0
10,3,2,1,14:18:26.124,14:33:17.624,891.5,False,4,4,0,2,2,0,2,2,0,4,2,1,1,100.0,0.0
10,3,3,4,14:33:17.624,14:41:08.214,470.59,True,9,7,2,5,4,1,4,3,1,13,9,0,1,77.77777777777777,22.22222222222223
10,3,1,1,14:41:08.214,14:41:36.785,28.571,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
11,1,1,6,14:22:08.352,14:33:47.295,698.943,True,10,8,2,6,5,1,4,3,1,11,8,0,0,80.0,20.0
11,1,2,3,14:33:47.295,14:41:54.930,487.635,True,10,9,1,6,6,0,4,3,1,10,4,1,1,90.0,10.0
11,1,3,2,14:41:54.930,14:45:59.368,244.438,True,6,5,1,3,3,0,3,2,1,8,6,0,0,83.33333333333333,16.66666666666667
11,3,1,3,14:13:54.844,14:20:12.099,377.255,True,9,7,2,6,5,1,3,2,1,9,8,0,0,77.77777777777777,22.22222222222223
11,3,2,1,14:20:12.099,14:23:53.796,221.697,True,4,4,0,2,2,0,2,2,0,4,2,0,0,100.0,0.0
11,3,3,2,14:23:53.796,14:29:18.329,324.533,True,6,5,1,3,3,0,3,2,1,8,6,0,0,83.33333333333333,16.66666666666667
11,3,1,1,14:29:18.329,14:29:18.332,0.003,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
13,1,1,3,14:19:57.019,14:26:32.030,395.011,False,3,3,0,2,2,0,1,1,0,4,3,0,0,100.0,0.0
13,1,2,2,14:26:32.030,14:30:43.155,251.125,False,2,2,0,1,1,0,1,1,0,4,3,0,0,100.0,0.0
13,1,3,3,14:30:43.155,14:33:28.259,165.104,False,4,3,1,2,2,0,2,1,1,7,6,1,1,75.0,25.0
13,3,1,3,14:15:31.568,14:28:18.519,766.951,False,8,8,0,5,5,0,3,3,0,12,9,0,0,100.0,0.0
13,3,2,2,14:28:18.519,14:35:10.769,412.25,True,5,5,0,4,4,0,1,1,0,6,4,1,1,100.0,0.0
13,3,3,2,14:35:10.769,14:40:03.212,292.443,True,7,6,1,4,4,0,3,2,1,6,4,0,0,85.71428571428571,14.285714285714292
15,1,1,3,15:03:20.042,15:14:35.482,675.44,False,0,0,0,0,0,0,0,0,0,2,1,0,0,0 planificado,0 planificado
15,1,2,2,15:14:35.482,15:20:07.463,331.981,False,0,0,0,0,0,0,0,0,0,4,0,2,2,0 planificado,0 planificado
16,1,1,4,15:29:42.390,15:40:07.396,625.006,False,2,1,1,0,0,0,2,1,1,5,4,0,0,50.0,50.0
16,1,2,1,15:40:07.396,15:42:48.934,161.538,False,1,0,1,0,0,0,1,0,1,3,1,1,1,0.0,100.0
16,1,1,1,15:42:48.934,15:46:00.232,191.298,False,1,1,0,0,0,0,1,1,0,2,2,0,0,100.0,0.0
16,1,2,2,15:46:00.232,15:55:50.529,590.297,False,4,3,1,2,2,0,2,1,1,7,6,1,1,75.0,25.0
16,3,1,2,15:00:03.742,15:07:08.980,425.238,False,4,4,0,2,2,0,2,2,0,4,3,1,1,100.0,0.0
16,3,2,2,15:07:08.980,15:15:43.972,514.992,False,3,3,0,2,2,0,1,1,0,6,6,0,0,100.0,0.0
16,3,3,1,15:15:43.972,15:19:30.920,226.948,False,2,2,0,1,1,0,1,1,0,2,2,0,0,100.0,0.0
16,3,1,1,15:19:30.920,15:23:30.830,239.91,False,4,4,0,2,2,0,2,2,0,4,3,1,1,100.0,0.0
16,3,2,1,15:23:30.830,15:29:21.792,350.962,False,4,4,0,2,2,0,2,2,0,4,2,2,2,100.0,0.0
16,3,3,2,15:29:21.792,15:36:46.952,445.16,False,4,3,1,2,2,0,2,1,1,4,4,0,0,75.0,25.0
17,1,1,9,14:23:03.711,14:40:03.021,1019.31,False,18,17,1,12,12,0,6,5,1,13,13,0,0,94.44444444444444,5.555555555555557
17,1,2,2,14:40:03.021,14:45:28.196,325.175,True,5,4,1,2,2,0,3,2,1,6,6,0,0,80.0,20.0
17,1,3,1,14:45:28.196,14:47:23.112,114.916,True,5,5,0,2,2,0,3,3,0,4,4,0,0,100.0,0.0
17,3,1,4,14:14:43.812,14:31:57.052,1033.24,False,9,8,1,6,6,0,3,2,1,14,14,0,0,88.88888888888889,11.111111111111114
17,3,2,1,14:31:57.052,14:37:24.618,327.566,False,3,3,0,2,2,0,1,1,0,4,4,0,0,100.0,0.0
17,3,3,1,14:37:24.618,14:43:56.411,391.793,False,4,4,0,2,2,0,2,2,0,4,4,0,0,100.0,0.0
17,3,1,1,14:43:56.411,14:44:49.452,53.041,False,0,0,0,0,0,0,0,0,0,1,0,1,1,0 planificado,0 planificado
18,1,1,6,14:41:30.786,14:55:21.747,830.961,False,17,13,4,7,7,0,10,6,4,7,2,0,0,76.47058823529412,23.529411764705884
18,1,1,2,14:56:41.369,15:00:04.877,203.508,True,6,6,0,3,3,0,3,3,0,4,3,0,0,100.0,0.0
18,1,2,1,15:00:04.877,15:04:05.779,240.902,True,4,4,0,2,2,0,2,2,0,4,3,0,0,100.0,0.0
18,1,3,4,15:04:05.779,15:12:14.966,489.187,True,5,3,2,3,3,0,2,0,2,12,8,0,0,60.0,40.0
18,3,1,2,15:06:50.654,15:12:14.783,324.129,True,8,7,1,4,4,0,4,3,1,7,5,0,0,87.5,12.5
18,3,2,2,15:12:14.783,15:19:02.477,407.694,True,6,5,1,3,2,1,3,3,0,6,5,0,1,83.33333333333333,16.66666666666667
18,3,3,3,15:19:02.477,15:43:52.111,1489.634,True,10,8,2,6,6,0,4,2,2,9,7,0,0,80.0,20.0
18,3,1,1,15:43:52.111,15:43:52.114,0.003,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
19,1,1,6,14:22:36.656,14:43:21.606,1244.95,True,39,30,9,12,10,2,27,20,7,19,15,0,0,76.92307692307692,23.07692307692308
19,1,2,1,14:43:21.606,14:48:20.692,299.086,True,5,5,0,2,2,0,3,3,0,4,4,0,0,100.0,0.0
19,1,3,1,14:48:20.692,14:50:51.188,150.496,True,4,4,0,2,2,0,2,2,0,4,4,0,0,100.0,0.0
19,3,1,1,14:14:22.689,14:19:59.749,337.06,True,8,8,0,2,2,0,6,6,0,4,4,0,0,100.0,0.0
19,3,2,2,14:19:59.749,14:25:43.947,344.198,True,5,5,0,2,2,0,3,3,0,4,4,0,0,100.0,0.0
19,3,3,2,14:25:43.947,14:32:03.553,379.606,True,14,12,2,3,3,0,11,9,2,8,8,0,0,85.71428571428571,14.285714285714292
1,2,1,1,15:03:08.992,15:10:19.897,430.905,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0 planificado,0 planificado
21,1,1,5,15:25:15.288,15:38:19.551,784.263,False,6,6,0,3,3,0,3,3,0,8,6,0,0,100.0,0.0
21,1,2,1,15:38:19.551,15:42:19.447,239.896,False,4,3,1,2,2,0,2,1,1,4,4,0,0,75.0,25.0
21,1,3,4,15:42:19.447,15:51:25.871,546.424,False,21,19,2,7,7,0,14,12,2,16,16,0,0,90.47619047619048,9.523809523809518
21,3,1,3,15:05:45.125,15:13:24.558,459.433,False,14,14,0,4,4,0,10,10,0,12,12,0,0,100.0,0.0
21,3,2,3,15:13:24.558,15:21:30.015,485.457,False,15,13,2,9,8,1,6,5,1,12,12,0,1,86.66666666666667,13.333333333333329
21,3,3,11,15:21:30.015,15:51:06.616,1776.601,True,26,23,3,12,12,0,14,11,3,29,27,0,0,88.46153846153847,11.538461538461533
21,3,1,1,15:51:06.616,15:51:06.619,0.003,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
22,1,1,2,15:16:10.840,15:21:32.368,321.528,False,0,0,0,0,0,0,0,0,0,2,2,0,0,0 planificado,0 planificado
22,1,2,4,15:21:32.368,15:38:46.956,1034.588,True,10,10,0,5,5,0,5,5,0,12,12,0,0,100.0,0.0
22,1,3,2,15:38:46.956,15:43:29.980,283.024,True,9,8,1,4,4,0,5,4,1,8,8,0,0,88.88888888888889,11.111111111111114
22,3,1,3,14:59:31.381,15:07:16.598,465.217,True,11,8,3,6,6,0,5,2,3,8,8,0,0,72.72727272727273,27.272727272727266
22,3,2,10,15:07:16.598,15:53:03.221,2746.623,False,33,31,2,16,16,0,17,15,2,29,29,0,0,93.93939393939394,6.060606060606062
23,1,1,10,14:22:05.338,14:51:11.307,1745.969,False,14,11,3,5,4,1,9,7,2,25,18,0,0,78.57142857142857,21.42857142857143
23,1,2,2,14:51:11.307,14:53:27.923,136.616,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
24,1,1,3,15:10:23.032,15:19:22.298,539.266,False,0,0,0,0,0,0,0,0,0,3,1,1,1,0 planificado,0 planificado
24,1,2,3,15:19:22.298,15:29:19.230,596.932,False,8,4,4,3,2,1,5,2,3,7,3,2,3,50.0,50.0
24,3,1,5,15:01:24.561,15:19:31.478,1086.917,True,19,14,5,6,6,0,13,8,5,11,7,0,0,73.6842105263158,26.315789473684205
24,3,2,4,15:19:31.478,15:35:05.464,933.986,False,12,9,3,6,5,1,6,4,2,12,5,0,0,75.0,25.0
24,3,3,3,15:35:05.464,15:51:01.360,955.896,True,12,10,2,6,6,0,6,4,2,12,9,0,0,83.33333333333333,16.66666666666667
25,1,1,6,14:56:23.695,15:13:30.278,1026.583,False,11,10,1,5,5,0,6,5,1,12,7,0,0,90.9090909090909,9.090909090909093
25,1,2,2,15:13:30.278,15:21:05.316,455.038,False,6,6,0,4,4,0,2,2,0,6,2,1,1,100.0,0.0
25,1,3,1,15:21:05.316,15:22:58.894,113.578,False,3,3,0,2,2,0,1,1,0,2,1,0,0,100.0,0.0
25,3,1,2,14:57:25.697,15:03:06.598,340.901,False,6,6,0,4,4,0,2,2,0,4,2,0,0,100.0,0.0
25,3,2,6,15:03:06.598,15:25:52.239,1365.641,False,18,17,1,12,12,0,6,5,1,22,10,0,0,94.44444444444444,5.555555555555557
25,3,3,7,15:25:52.239,15:42:14.394,982.155,False,24,19,5,14,14,0,10,5,5,28,21,0,0,79.16666666666667,20.83333333333333
26,1,1,6,14:57:14.600,15:22:54.073,1539.473,False,6,6,0,3,3,0,3,3,0,9,8,1,1,100.0,0.0
26,1,2,1,15:22:54.073,15:25:56.336,182.263,False,0,0,0,0,0,0,0,0,0,3,2,1,1,0 planificado,0 planificado
26,3,1,3,14:58:10.940,15:07:48.682,577.742,False,7,6,1,4,4,0,3,2,1,6,6,0,0,85.71428571428571,14.285714285714292
26,3,2,11,15:07:48.682,15:37:20.923,1772.241,False,21,15,6,11,11,0,10,4,6,23,21,2,2,71.42857142857143,28.57142857142857
26,3,3,2,15:37:20.923,15:40:59.178,218.255,False,0,0,0,0,0,0,0,0,0,1,1,0,0,0 planificado,0 planificado
27,1,1,5,15:04:46.232,15:18:54.053,847.821,False,10,6,4,6,6,0,4,0,4,14,11,0,0,60.0,40.0
27,1,2,1,15:18:54.053,15:20:10.657,76.604,False,0,0,0,0,0,0,0,0,0,2,2,0,0,0 planificado,0 planificado
27,3,1,2,15:07:30.039,15:12:23.722,293.683,False,2,2,0,2,2,0,0,0,0,4,2,0,0,100.0,0.0
27,3,2,11,15:12:23.722,15:38:52.809,1589.087,False,8,8,0,8,8,0,0,0,0,23,11,2,2,100.0,0.0
27,3,1,1,15:38:52.809,15:42:01.441,188.632,False,3,2,1,2,2,0,1,0,1,4,3,0,0,66.66666666666667,33.33333333333333
27,3,2,2,15:42:01.441,15:44:04.289,122.848,False,0,0,0,0,0,0,0,0,0,2,0,1,1,0 planificado,0 planificado
27,3,3,3,15:44:04.289,15:53:09.504,545.215,False,11,6,5,6,5,1,5,1,4,12,9,0,0,54.54545454545455,45.45454545454545
2,1,1,9,14:19:54.532,14:50:35.180,1840.648,True,22,19,3,11,11,0,11,8,3,23,18,0,0,86.36363636363636,13.63636363636364
2,1,2,2,14:50:35.180,14:55:04.984,269.804,False,2,2,0,2,2,0,0,0,0,4,2,1,1,100.0,0.0
30,1,1,2,14:59:28.344,15:05:56.110,387.766,True,4,4,0,2,2,0,2,2,0,5,4,0,0,100.0,0.0
30,1,2,1,15:05:56.110,15:10:25.433,269.323,True,6,6,0,2,2,0,4,4,0,4,2,0,0,100.0,0.0
30,1,3,6,15:10:25.433,15:29:11.613,1126.18,True,28,20,8,10,10,0,18,10,8,14,10,0,0,71.42857142857143,28.57142857142857
30,3,1,2,15:01:05.154,15:06:32.230,327.076,True,5,4,1,3,2,1,2,2,0,4,4,0,0,80.0,20.0
30,3,2,1,15:06:32.230,15:10:35.900,243.67,True,6,6,0,2,2,0,4,4,0,4,4,0,0,100.0,0.0
30,3,3,7,15:10:35.900,15:35:37.780,1501.88,True,40,29,11,14,13,1,26,16,10,19,15,1,2,72.5,27.5
30,3,1,1,15:35:37.780,15:37:20.925,103.145,False,0,0,0,0,0,0,0,0,0,1,1,0,0,0 planificado,0 planificado
30,3,3,2,15:37:20.925,15:42:28.525,307.6,False,5,4,1,3,3,0,2,1,1,4,3,0,0,80.0,20.0
31,1,1,4,14:41:32.880,14:51:59.233,626.353,False,4,4,0,2,2,0,2,2,0,6,3,0,0,100.0,0.0
31,1,2,7,14:51:59.233,15:11:40.452,1181.219,False,9,8,1,5,5,0,4,3,1,16,8,3,3,88.88888888888889,11.111111111111114
31,3,1,2,14:59:05.674,15:04:55.399,349.725,False,5,5,0,3,3,0,2,2,0,8,7,0,0,100.0,0.0
31,3,2,21,15:04:55.399,15:53:16.524,2901.125,False,32,26,6,17,17,0,15,9,6,52,29,3,3,81.25,18.75
32,1,1,10,14:21:40.892,14:44:31.489,1370.597,True,26,24,2,15,14,1,11,10,1,19,13,0,0,92.3076923076923,7.692307692307693
32,1,2,4,14:44:31.489,14:53:52.881,561.392,True,15,13,2,8,8,0,7,5,2,12,5,1,1,86.66666666666667,13.333333333333329
