ID,Sesion,Nivel,Intento,Tipo,Tiempo inicio,Tiempo respuesta,Tiempo reaccion(s),Respuesta
10,1,1,1,Parada,15:04:56.785,15:05:01.900,5.115,-
10,1,1,2,Parada,15:07:15.429,15:07:16.982,1.553,-
10,1,1,3,Parada,15:08:51.246,15:08:54.366,3.12,-
10,1,1,3,Parada,15:09:06.846,15:09:09.346,2.5,-
10,1,1,3,Ubicacion,15:09:27.279,,,Correcto
10,1,1,3,Dormir,15:10:04.109,15:10:05.277,1.168,Correcto
10,1,1,4,Parada,15:12:32.040,15:12:34.966,2.926,-
10,1,1,4,Dormir,15:12:39.607,15:12:41.742,2.135,Correcto
10,1,1,4,Dormir,15:12:48.307,15:12:49.941,1.634,Correcto
10,1,1,4,Dormir,15:12:56.540,15:12:58.574,2.034,Correcto
10,1,1,4,Ubicacion,15:13:03.606,,,Erroneo
10,1,1,4,Dormir,15:13:05.173,15:13:07.074,1.901,Correcto
10,1,1,5,Dormir,15:14:23.764,15:14:31.249,7.485,Correcto
10,1,1,5,Parada,15:14:47.223,15:14:50.885,3.662,-
10,1,1,5,Parada,15:15:03.384,15:15:06.984,3.6,-
10,1,1,5,Ubicacion,15:15:17.051,,,Correcto
10,1,1,6,Parada,15:17:56.425,15:18:00.245,3.82,-
10,1,1,6,Dormir,15:18:04.885,15:18:11.348,6.463,Correcto
10,1,1,7,Dormir,15:19:51.375,15:19:56.161,4.786,Correcto
10,1,1,7,Dormir,15:20:02.741,15:20:04.209,1.468,Correcto
10,1,1,7,Parada,15:20:12.374,15:20:14.642,2.268,-
10,1,1,7,Ubicacion,15:20:19.307,,,Erroneo
10,1,1,7,Parada,15:20:20.873,15:20:24.873,4.0,-
10,1,1,7,Parada,15:20:31.107,15:20:35.774,4.667,-
10,1,1,7,Parada,15:20:42.006,15:20:46.000,3.994,-
10,3,1,1,Dormir,14:16:44.382,14:16:46.736,2.354,Correcto
10,3,1,1,Parada,14:16:56.449,14:16:58.449,2.0,-
10,3,1,1,Parada,14:17:04.681,14:17:06.749,2.068,-
10,3,1,1,Parada,14:17:12.981,14:17:15.482,2.501,-
10,3,1,1,Ubicacion,14:17:19.315,,,Correcto
10,3,1,1,Parada,14:17:21.714,14:17:23.281,1.567,-
10,3,1,1,Ubicacion,14:17:56.646,,,Correcto
10,3,1,1,Dormir,14:17:56.113,14:17:57.813,1.7,Correcto
10,3,2,1,Parada,14:20:07.500,14:20:09.319,1.819,-
10,3,2,1,Ubicacion,14:20:28.567,,,Correcto
10,3,2,1,Parada,14:20:28.066,14:20:30.233,2.167,-
10,3,2,1,Dormir,14:20:47.398,14:20:49.965,2.567,Correcto
10,3,2,1,Parada,14:20:56.565,,Tiempo excedido,Erroneo
10,3,2,1,Parada,14:21:20.419,14:21:22.886,2.467,-
10,3,2,1,Ubicacion,14:21:46.818,,,Correcto
10,3,2,1,Dormir,14:21:55.750,14:21:58.518,2.768,Correcto
10,3,3,1,Parada,14:34:42.583,14:34:44.768,2.185,-
10,3,3,1,Parada,14:34:49.416,14:34:51.583,2.167,-
10,3,3,1,Dormir,14:34:54.682,,Tiempo excedido,Erroneo
10,3,3,1,Parada,14:35:06.315,14:35:09.216,2.901,-
10,3,3,2,Parada,14:36:30.027,14:36:33.078,3.051,-
10,3,3,2,Parada,14:36:37.727,14:36:40.395,2.668,-
10,3,3,3,Parada,14:37:13.592,14:37:15.343,1.751,-
10,3,3,3,Parada,14:37:19.991,14:37:21.526,1.535,-
10,3,3,3,Dormir,14:37:23.058,14:37:24.792,1.734,Correcto
10,3,3,3,Parada,14:37:32.958,14:37:34.559,1.601,-
10,3,3,3,Ubicacion,14:37:36.592,,,Correcto
10,3,3,3,Parada,14:37:39.224,14:37:41.658,2.434,-
10,3,3,3,Dormir,14:38:05.123,14:38:06.724,1.601,Correcto
10,3,3,3,Ubicacion,14:38:11.756,,,Erroneo
10,3,3,4,Dormir,14:38:54.254,14:38:57.339,3.085,Correcto
10,3,3,4,Dormir,14:39:03.920,14:39:05.221,1.301,Correcto
10,3,3,4,Ubicacion,14:39:09.954,,,Correcto
10,3,3,4,Parada,14:39:11.820,14:39:13.920,2.1,-
10,3,3,4,Parada,14:39:18.553,14:39:20.054,1.501,-
10,3,3,4,Parada,14:39:24.719,14:39:25.753,1.034,-
10,3,3,4,Parada,14:39:30.419,14:39:32.553,2.134,-
10,3,3,4,Ubicacion,14:39:48.785,,,Correcto
11,1,1,1,Parada,14:23:07.307,14:23:10.920,3.613,-
11,1,1,2,Parada,14:24:35.626,14:24:38.178,2.552,-
11,1,1,4,Dormir,14:28:55.524,14:29:00.810,5.286,Correcto
11,1,1,4,Dormir,14:29:07.389,14:29:10.143,2.754,Erroneo
11,1,1,5,Dormir,14:29:57.387,14:29:59.107,1.72,Correcto
11,1,1,5,Dormir,14:30:05.687,14:30:06.988,1.301,Correcto
11,1,1,5,Parada,14:30:13.586,14:30:16.554,2.968,-
11,1,1,5,Parada,14:30:22.786,14:30:25.453,2.667,-
11,1,1,5,Ubicacion,14:30:26.985,,,Erroneo
11,1,1,5,Parada,14:30:31.652,14:30:33.453,1.801,-
11,1,1,5,Parada,14:30:39.685,14:30:41.153,1.468,-
11,1,1,5,Ubicacion,14:31:11.518,,,Correcto
11,1,1,6,Dormir,14:32:09.203,14:32:11.555,2.352,Correcto
11,1,1,6,Dormir,14:32:18.136,14:32:19.470,1.334,Correcto
11,1,1,6,Parada,14:32:26.069,14:32:27.704,1.635,-
11,1,1,6,Ubicacion,14:32:32.569,,,Correcto
11,1,1,6,Parada,14:32:33.935,14:32:35.636,1.701,-
11,1,1,6,Parada,14:32:41.868,14:32:43.335,1.467,-
11,1,1,6,Parada,14:32:49.568,14:32:51.035,1.467,-
11,1,1,6,Ubicacion,14:33:08.700,,,Correcto
11,1,2,1,Parada,14:35:23.961,14:35:25.813,1.852,-
11,1,2,1,Parada,14:35:44.559,14:35:46.627,2.068,-
11,1,2,1,Dormir,14:35:54.426,14:35:55.859,1.433,Correcto
11,1,2,1,Dormir,14:36:02.458,14:36:04.992,2.534,Correcto
11,1,2,1,Ubicacion,14:36:17.857,,,Erroneo
11,1,2,1,Parada,14:36:19.424,14:36:21.677,2.253,-
11,1,2,2,Parada,14:37:16.849,14:37:18.902,2.053,-
11,1,2,2,Ubicacion,14:37:38.210,,,Correcto
11,1,2,2,Parada,14:37:37.641,14:37:39.643,2.002,-
11,1,2,2,Dormir,14:37:58.380,14:37:59.415,1.035,Correcto
11,1,2,2,Dormir,14:38:06.013,14:38:07.080,1.067,Correcto
11,1,2,2,Parada,14:38:13.680,14:38:16.199,2.519,-
11,1,2,3,Parada,14:39:19.893,14:39:21.613,1.72,-
11,1,2,3,Ubicacion,14:39:30.127,,,Correcto
11,1,2,3,Dormir,14:39:38.792,14:39:39.926,1.134,Correcto
11,1,2,3,Parada,14:39:46.525,14:39:48.626,2.101,-
11,1,2,3,Dormir,14:39:54.858,14:39:55.825,0.967,Correcto
11,1,2,3,Parada,14:40:13.390,,Tiempo excedido,Erroneo
11,1,2,3,Ubicacion,14:40:32.945,,,Correcto
11,1,2,3,Parada,14:40:37.212,14:40:41.379,4.167,-
11,1,3,1,Parada,14:43:15.954,14:43:18.040,2.086,-
11,1,3,1,Parada,14:43:22.686,14:43:24.421,1.735,-
11,1,3,1,Parada,14:43:29.053,14:43:30.554,1.501,-
11,1,3,1,Parada,14:43:35.219,14:43:36.854,1.635,-
11,1,3,1,Dormir,14:43:41.519,14:43:42.753,1.234,Correcto
11,1,3,1,Ubicacion,14:43:47.785,,,Erroneo
11,1,3,2,Parada,14:44:57.038,14:44:59.385,2.347,-
11,1,3,2,Dormir,14:45:02.437,14:45:04.638,2.201,Correcto
11,1,3,2,Dormir,14:45:11.237,14:45:15.871,4.634,Correcto
11,1,3,2,Ubicacion,14:45:21.003,,,Correcto
11,1,3,2,Parada,14:45:22.469,14:45:25.204,2.735,-
11,1,3,2,Parada,14:45:29.869,14:45:31.237,1.368,-
11,1,3,2,Parada,14:45:35.869,14:45:36.903,1.034,-
11,1,3,2,Ubicacion,14:45:59.368,,,Correcto
11,3,1,1,Dormir,14:15:54.268,14:15:56.354,2.086,Correcto
11,3,1,1,Parada,14:16:02.913,14:16:04.780,1.867,-
11,3,1,1,Parada,14:16:11.012,14:16:15.347,4.335,-
11,3,1,1,Parada,14:16:21.579,14:16:23.213,1.634,-
11,3,1,1,Dormir,14:16:24.745,14:16:25.913,1.168,Correcto
11,3,1,1,Ubicacion,14:16:30.945,,,Erroneo
11,3,1,2,Parada,14:17:24.298,14:17:25.917,1.619,-
11,3,1,2,Parada,14:17:32.131,14:17:34.098,1.967,-
11,3,1,2,Dormir,14:17:37.197,14:17:38.331,1.134,Correcto
11,3,1,3,Parada,14:18:35.700,14:18:36.653,0.953,-
11,3,1,3,Parada,14:18:42.866,14:18:43.980,1.114,-
11,3,1,3,Dormir,14:18:45.500,14:18:46.734,1.234,Correcto
11,3,1,3,Parada,14:18:56.466,14:18:57.500,1.034,-
11,3,1,3,Ubicacion,14:19:04.733,,,Correcto
11,3,1,3,Parada,14:19:03.732,14:19:05.499,1.767,-
11,3,1,3,Dormir,14:19:16.431,14:19:23.865,7.434,Correcto
11,3,1,3,Ubicacion,14:19:48.497,,,Correcto
11,3,2,1,Parada,14:21:13.415,14:21:15.868,2.453,-
11,3,2,1,Ubicacion,14:21:35.214,,,Correcto
11,3,2,1,Parada,14:21:34.580,14:21:36.881,2.301,-
11,3,2,1,Dormir,14:21:55.646,14:21:56.580,0.934,Correcto
11,3,2,1,Parada,14:22:03.179,14:22:04.746,1.567,-
11,3,2,1,Dormir,14:22:20.378,14:22:21.378,1.0,Correcto
11,3,2,1,Parada,14:22:29.544,14:22:32.545,3.001,-
11,3,2,1,Ubicacion,14:22:38.711,,,Correcto
11,3,3,1,Dormir,14:25:38.224,14:25:40.610,2.386,Correcto
11,3,3,1,Parada,14:25:47.157,14:25:49.491,2.334,-
11,3,3,1,Parada,14:25:54.156,14:25:56.157,2.001,-
11,3,3,1,Parada,14:26:00.823,14:26:02.457,1.634,-
11,3,3,1,Ubicacion,14:26:07.123,,,Erroneo
11,3,3,1,Parada,14:26:07.122,14:26:08.723,1.601,-
11,3,3,2,Dormir,14:27:05.353,14:27:06.705,1.352,Correcto
11,3,3,2,Parada,14:27:13.286,14:27:15.420,2.134,-
11,3,3,2,Parada,14:27:20.086,14:27:21.620,1.534,-
11,3,3,2,Parada,14:27:26.285,14:27:27.719,1.434,-
11,3,3,2,Ubicacion,14:27:28.152,,,Correcto
11,3,3,2,Parada,14:27:32.385,14:27:33.719,1.334,-
11,3,3,2,Dormir,14:27:36.784,14:27:38.152,1.368,Correcto
11,3,3,2,Ubicacion,14:27:57.917,,,Correcto
13,1,1,1,Parada,14:20:52.039,14:20:53.658,1.619,-
