ID,Sesion,Num niveles,Num intentos,Completados,Tiempo inicio,Tiempo final,Tiempo duracion,Pasos planificados,Pasos ejecutados,Errores ejecucion,Num dormir planificado,Correctos dormir,Errores dormir,Num ubicacion planificado,Correctos ubicacion,Errores ubicacion,Paradas posibles,Paradas realizadas,Errores parada por tiempo excedido,Num errores por tiempo excedido,% Aciertos,% Mal
10,1,1,7,0,15:04:04.517,15:20:46.000,1001.483,14,11,3,10,9,1,4,2,2,12,6,0,0,78.57142857142857,21.42857142857143
10,3,4,7,2,14:15:08.014,14:41:36.785,1588.771,17,15,2,9,8,1,8,7,1,21,14,1,2,88.23529411764706,11.764705882352942
11,1,3,11,4,14:22:08.352,14:45:59.368,1431.016,26,22,4,15,14,1,11,8,3,29,18,1,1,84.61538461538461,15.384615384615387
11,3,4,7,3,14:13:54.844,14:29:18.332,923.488,19,16,3,11,10,1,8,6,2,21,16,0,0,84.21052631578948,15.78947368421052
13,1,3,8,0,14:19:57.019,14:33:28.259,811.24,9,8,1,5,5,0,4,3,1,15,12,1,1,88.88888888888889,11.111111111111114
13,3,3,7,2,14:15:31.568,14:40:03.212,1471.644,20,19,1,13,13,0,7,6,1,24,17,1,1,95.0,5.0
15,1,2,5,0,15:03:20.042,15:20:07.463,1007.421,0,0,0,0,0,0,0,0,0,6,1,2,2,0 planificado,0 planificado
16,1,4,8,0,15:29:42.390,15:55:50.529,1568.139,8,5,3,2,2,0,6,3,3,17,13,2,2,62.5,37.5
16,3,6,9,0,15:00:03.742,15:36:46.952,2203.21,21,20,1,11,11,0,10,9,1,24,20,4,4,95.23809523809524,4.761904761904759
17,1,3,12,2,14:23:03.711,14:47:23.112,1459.401,28,26,2,16,16,0,12,10,2,23,23,0,0,92.85714285714286,7.142857142857139
17,3,4,7,0,14:14:43.812,14:44:49.452,1805.64,16,15,1,10,10,0,6,5,1,23,22,1,1,93.75,6.25
18,1,1,6,0,14:41:30.786,14:55:21.747,830.961,17,13,4,7,7,0,10,6,4,7,2,0,0,76.47058823529412,23.529411764705884
18,1,3,7,3,14:56:41.369,15:12:14.966,933.597,15,13,2,8,8,0,7,5,2,20,14,0,0,86.66666666666667,13.333333333333329
18,3,4,8,3,15:06:50.654,15:43:52.114,2221.46,24,20,4,13,12,1,11,8,3,22,17,0,1,83.33333333333333,16.66666666666667
19,1,3,8,4,14:22:36.656,14:50:51.188,1694.532,48,39,9,16,14,2,32,25,7,27,23,0,0,81.25,18.75
19,3,3,5,4,14:14:22.689,14:32:03.553,1060.864,27,25,2,7,7,0,20,18,2,16,16,0,0,92.5925925925926,7.407407407407405
1,2,1,1,0,15:03:08.992,15:10:19.897,430.905,0,0,0,0,0,0,0,0,0,1,0,0,0,0 planificado,0 planificado
21,1,3,10,0,15:25:15.288,15:51:25.871,1570.583,31,28,3,12,12,0,19,16,3,28,26,0,0,90.3225806451613,9.677419354838705
21,3,4,18,4,15:05:45.125,15:51:06.619,2721.494,55,50,5,25,24,1,30,26,4,53,51,0,1,90.9090909090909,9.090909090909093
22,1,3,8,2,15:16:10.839,15:43:29.980,1639.141,19,18,1,9,9,0,10,9,1,22,22,0,0,94.73684210526316,5.263157894736835
22,3,2,13,1,14:59:31.380,15:53:03.221,3211.841,44,39,5,22,22,0,22,17,5,37,37,0,0,88.63636363636364,11.36363636363636
23,1,2,12,0,14:22:05.337,14:53:27.923,1882.586,14,11,3,5,4,1,9,7,2,25,18,0,0,78.57142857142857,21.42857142857143
24,1,2,6,0,15:10:23.032,15:29:19.230,1136.198,8,4,4,3,2,1,5,2,3,10,4,3,4,50.0,50.0
24,3,3,12,2,15:01:24.561,15:51:01.360,2976.799,43,33,10,18,17,1,25,16,9,35,21,0,0,76.74418604651163,23.25581395348837
25,1,3,9,0,14:56:23.695,15:22:58.894,1595.199,20,19,1,11,11,0,9,8,1,20,10,1,1,95.0,5.0
25,3,3,15,0,14:57:25.697,15:42:14.394,2688.697,48,42,6,30,30,0,18,12,6,54,33,0,0,87.5,12.5
26,1,2,7,0,14:57:14.599,15:25:56.336,1721.737,6,6,0,3,3,0,3,3,0,12,10,2,2,100.0,0.0
26,3,3,16,0,14:58:10.940,15:40:59.178,2568.238,28,21,7,15,15,0,13,6,7,30,28,2,2,75.0,25.0
27,1,2,6,0,15:04:46.232,15:20:10.657,924.425,10,6,4,6,6,0,4,0,4,16,13,0,0,60.0,40.0
27,3,5,19,0,15:07:30.038,15:53:09.504,2739.466,24,18,6,18,17,1,6,1,5,45,25,3,3,75.0,25.0
2,1,2,11,1,14:19:54.532,14:55:04.984,2110.452,24,21,3,13,13,0,11,8,3,27,20,1,1,87.5,12.5
30,1,3,9,3,14:59:28.344,15:29:11.613,1783.269,38,30,8,14,14,0,24,16,8,23,16,0,0,78.94736842105263,21.05263157894737
30,3,5,13,4,15:01:05.153,15:42:28.525,2483.372,56,43,13,22,20,2,34,23,11,32,27,1,2,76.78571428571429,23.214285714285708
31,1,2,11,0,14:41:32.880,15:11:40.452,1807.572,13,12,1,7,7,0,6,5,1,22,11,3,3,92.3076923076923,7.692307692307693
31,3,2,23,0,14:59:05.674,15:53:16.524,3250.85,37,31,6,20,20,0,17,11,6,60,36,3,3,83.78378378378379,16.21621621621621
