ID,Sesion,Nivel,Intento,Tiempo inicio,Tiempo final,Tiempo duracion,Completado,Reglas planificacion cumplidas,%Reglas respetadas ejecucion,Pasos planificados,Pasos ejecutados,Errores ejecucion,Num dormir planificado,Correctos dormir,Errores dormir,Num ubicacion planificado,Correctos ubicacion,Errores ubicacion,Paradas posibles,Paradas realizadas,Errores parada por tiempo excedido,Num errores por tiempo excedido,% Aciertos,% Mal
10,1,1,1,15:04:04.517,15:06:53.177,168.66,False,False,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0 planificado,0 planificado
10,1,1,2,15:06:53.177,15:08:14.430,81.253,False,False,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0 planificado,0 planificado
10,1,1,3,15:08:14.430,15:10:38.193,143.763,False,False,100,2,2,0,1,1,0,1,1,0,2,1,0,0,100.0,0.0
10,1,1,4,15:10:38.193,15:13:31.337,173.144,False,False,75,5,4,1,4,4,0,1,0,1,1,0,0,0,80.0,20.0
10,1,1,5,15:13:31.337,15:16:31.771,180.434,False,False,100,2,2,0,1,1,0,1,1,0,2,1,0,0,100.0,0.0
10,1,1,6,15:16:31.771,15:18:37.553,125.782,False,False,75,2,1,1,2,1,1,0,0,0,1,0,0,0,50.0,50.0
10,1,1,7,15:18:37.553,15:20:46.000,128.447,False,True,75,3,2,1,2,2,0,1,0,1,4,3,0,0,66.66666666666667,33.33333333333333
10,3,1,1,14:15:08.014,14:18:26.124,198.11,True,True,100,4,4,0,2,2,0,2,2,0,4,3,0,0,100.0,0.0
10,3,2,1,14:18:26.124,14:33:17.624,891.5,False,True,75,4,4,0,2,2,0,2,2,0,4,2,1,1,100.0,0.0
10,3,3,1,14:33:17.624,14:35:15.423,117.799,False,True,75,1,0,1,1,0,1,0,0,0,3,2,0,1,0.0,100.0
10,3,3,2,14:35:15.423,14:36:43.433,88.01,False,False,100,0,0,0,0,0,0,0,0,0,2,1,0,0,0 planificado,0 planificado
10,3,3,3,14:36:43.433,14:38:15.556,92.123,False,True,75,4,3,1,2,2,0,2,1,1,4,3,0,0,75.0,25.0
10,3,3,4,14:38:15.556,14:41:08.214,172.658,True,True,100,4,4,0,2,2,0,2,2,0,4,3,0,0,100.0,0.0
10,3,1,1,14:41:08.214,14:41:36.785,28.571,False,False,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
11,1,1,1,14:22:08.352,14:23:43.704,95.352,False,False,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0 planificado,0 planificado
11,1,1,2,14:23:43.704,14:26:22.464,158.76,False,False,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0 planificado,0 planificado
11,1,1,3,14:26:22.464,14:28:12.884,110.42,True,True,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
11,1,1,4,14:28:12.884,14:29:14.660,61.776,False,True,75,2,1,1,2,1,1,0,0,0,1,0,0,0,50.0,50.0
11,1,1,5,14:29:14.660,14:31:33.694,139.034,False,True,75,4,3,1,2,2,0,2,1,1,4,3,0,0,75.0,25.0
11,1,1,6,14:31:33.694,14:33:47.295,133.601,True,True,100,4,4,0,2,2,0,2,2,0,4,3,0,0,100.0,0.0
11,1,2,1,14:33:47.295,14:36:27.066,159.771,False,True,75,3,2,1,2,2,0,1,0,1,3,2,0,0,66.66666666666667,33.33333333333333
11,1,2,2,14:36:27.066,14:38:26.067,119.001,True,True,100,3,3,0,2,2,0,1,1,0,3,0,0,0,100.0,0.0
11,1,2,3,14:38:26.067,14:41:54.930,208.863,False,True,75,4,4,0,2,2,0,2,2,0,4,2,1,1,100.0,0.0
11,1,3,1,14:41:54.930,14:43:50.888,115.958,False,True,75,2,1,1,1,1,0,1,0,1,4,3,0,0,50.0,50.0
11,1,3,2,14:43:50.888,14:45:59.368,128.48,True,True,100,4,4,0,2,2,0,2,2,0,4,3,0,0,100.0,0.0
11,3,1,1,14:13:54.844,14:16:36.213,161.369,False,True,75,3,2,1,2,2,0,1,0,1,3,2,0,0,66.66666666666667,33.33333333333333
11,3,1,2,14:16:36.213,14:17:54.671,78.458,False,True,75,2,1,1,2,1,1,0,0,0,2,2,0,0,50.0,50.0
11,3,1,3,14:17:54.671,14:20:12.099,137.428,True,True,100,4,4,0,2,2,0,2,2,0,4,4,0,0,100.0,0.0
11,3,2,1,14:20:12.099,14:23:53.796,221.697,True,True,100,4,4,0,2,2,0,2,2,0,4,2,0,0,100.0,0.0
11,3,3,1,14:23:53.796,14:26:14.354,140.558,False,True,75,2,1,1,1,1,0,1,0,1,4,3,0,0,50.0,50.0
11,3,3,2,14:26:14.354,14:29:18.329,183.975,True,True,100,4,4,0,2,2,0,2,2,0,4,3,0,0,100.0,0.0
11,3,1,1,14:29:18.329,14:29:18.332,0.003,False,False,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
13,1,1,1,14:19:57.019,14:22:37.777,160.758,False,False,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0 planificado,0 planificado
13,1,1,2,14:22:37.777,14:25:35.893,178.116,False,False,100,2,2,0,1,1,0,1,1,0,2,2,0,0,100.0,0.0
13,1,1,3,14:25:35.893,14:26:32.030,56.137,False,False,100,1,1,0,1,1,0,0,0,0,1,0,0,0,100.0,0.0
13,1,2,1,14:26:32.030,14:30:17.974,225.944,False,False,100,2,2,0,1,1,0,1,1,0,4,3,0,0,100.0,0.0
13,1,2,2,14:30:17.974,14:30:43.155,25.181,False,False,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
13,1,3,1,14:30:43.155,14:30:51.920,8.765,False,False,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
13,1,3,2,14:30:51.920,14:32:26.414,94.494,False,False,50,2,1,1,1,1,0,1,0,1,3,2,1,1,50.0,50.0
13,1,3,3,14:32:26.414,14:33:28.259,61.845,False,False,100,2,2,0,1,1,0,1,1,0,4,4,0,0,100.0,0.0
13,3,1,1,14:15:31.568,14:19:14.461,222.893,False,False,100,2,2,0,1,1,0,1,1,0,4,3,0,0,100.0,0.0
13,3,1,2,14:19:14.461,14:25:11.114,356.653,False,False,100,3,3,0,2,2,0,1,1,0,4,3,0,0,100.0,0.0
13,3,1,3,14:25:11.114,14:28:18.519,187.405,False,False,100,3,3,0,2,2,0,1,1,0,4,3,0,0,100.0,0.0
13,3,2,1,14:28:18.519,14:31:59.001,220.482,False,True,75,2,2,0,2,2,0,0,0,0,2,1,1,1,100.0,0.0
13,3,2,2,14:31:59.001,14:35:10.769,191.768,True,True,100,3,3,0,2,2,0,1,1,0,4,3,0,0,100.0,0.0
13,3,3,1,14:35:10.769,14:37:54.641,163.872,False,True,75,3,2,1,2,2,0,1,0,1,2,1,0,0,66.66666666666667,33.33333333333333
13,3,3,2,14:37:54.641,14:40:03.212,128.571,True,True,100,4,4,0,2,2,0,2,2,0,4,3,0,0,100.0,0.0
15,1,1,1,15:03:20.042,15:05:27.916,127.874,False,False,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
15,1,1,2,15:05:27.916,15:11:40.468,372.552,False,False,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0 planificado,0 planificado
15,1,1,3,15:11:40.468,15:14:35.482,175.014,False,False,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0 planificado,0 planificado
15,1,2,1,15:14:35.482,15:18:39.148,243.666,False,False,75,0,0,0,0,0,0,0,0,0,2,0,2,2,0 planificado,0 planificado
15,1,2,2,15:18:39.148,15:20:07.463,88.315,False,False,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0 planificado,0 planificado
16,1,1,1,15:29:42.390,15:33:17.847,215.457,False,False,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0 planificado,0 planificado
16,1,1,2,15:33:17.847,15:34:41.535,83.688,False,False,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
16,1,1,3,15:34:41.535,15:37:23.710,162.175,False,False,100,1,1,0,0,0,0,1,1,0,2,2,0,0,100.0,0.0
16,1,1,4,15:37:23.710,15:40:07.396,163.686,False,False,75,1,0,1,0,0,0,1,0,1,2,1,0,0,0.0,100.0
16,1,2,1,15:40:07.396,15:42:48.934,161.538,False,False,50,1,0,1,0,0,0,1,0,1,3,1,1,1,0.0,100.0
16,1,1,1,15:42:48.934,15:46:00.232,191.298,False,False,100,1,1,0,0,0,0,1,1,0,2,2,0,0,100.0,0.0
16,1,2,1,15:46:00.232,15:50:51.005,290.773,False,False,50,2,1,1,1,1,0,1,0,1,3,2,1,1,50.0,50.0
16,1,2,2,15:50:51.005,15:55:50.529,299.524,False,False,100,2,2,0,1,1,0,1,1,0,4,4,0,0,100.0,0.0
16,3,1,1,15:00:03.742,15:03:51.380,227.638,False,False,100,2,2,0,1,1,0,1,1,0,2,2,0,0,100.0,0.0
16,3,1,2,15:03:51.380,15:07:08.980,197.6,False,False,75,2,2,0,1,1,0,1,1,0,2,1,1,1,100.0,0.0
16,3,2,1,15:07:08.980,15:11:50.623,281.643,False,False,100,1,1,0,1,1,0,0,0,0,3,3,0,0,100.0,0.0
16,3,2,2,15:11:50.623,15:15:43.972,233.349,False,False,100,2,2,0,1,1,0,1,1,0,3,3,0,0,100.0,0.0
16,3,3,1,15:15:43.972,15:19:30.920,226.948,False,False,100,2,2,0,1,1,0,1,1,0,2,2,0,0,100.0,0.0
16,3,1,1,15:19:30.920,15:23:30.830,239.91,False,True,75,4,4,0,2,2,0,2,2,0,4,3,1,1,100.0,0.0
16,3,2,1,15:23:30.830,15:29:21.792,350.962,False,True,75,4,4,0,2,2,0,2,2,0,4,2,2,2,100.0,0.0
16,3,3,1,15:29:21.792,15:36:00.935,399.143,False,True,75,4,3,1,2,2,0,2,1,1,4,4,0,0,75.0,25.0
16,3,3,2,15:36:00.935,15:36:46.952,46.017,False,False,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0 planificado,0 planificado
17,1,1,1,14:23:03.711,14:25:02.794,119.083,False,False,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0 planificado,0 planificado
17,1,1,2,14:25:02.794,14:27:34.717,151.923,False,False,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0 planificado,0 planificado
17,1,1,3,14:27:34.717,14:29:37.620,122.903,False,False,100,2,2,0,2,2,0,0,0,0,1,1,0,0,100.0,0.0
17,1,1,4,14:29:37.620,14:31:19.958,102.338,False,False,75,3,2,1,2,2,0,1,0,1,1,1,0,0,66.66666666666667,33.33333333333333
17,1,1,5,14:31:19.958,14:32:13.378,53.42,False,False,100,2,2,0,2,2,0,0,0,0,0,0,0,0,100.0,0.0
17,1,1,6,14:32:13.378,14:34:35.589,142.211,False,False,100,4,4,0,2,2,0,2,2,0,1,1,0,0,100.0,0.0
17,1,1,7,14:34:35.589,14:36:38.967,123.378,False,False,100,3,3,0,2,2,0,1,1,0,2,2,0,0,100.0,0.0
17,1,1,8,14:36:38.967,14:37:52.044,73.077,False,False,100,0,0,0,0,0,0,0,0,0,2,2,0,0,0 planificado,0 planificado
17,1,1,9,14:37:52.044,14:40:03.021,130.977,False,False,100,4,4,0,2,2,0,2,2,0,4,4,0,0,100.0,0.0
17,1,2,1,14:40:03.021,14:42:08.964,125.943,False,True,75,1,0,1,0,0,0,1,0,1,2,2,0,0,0.0,100.0
17,1,2,2,14:42:08.964,14:45:28.196,199.232,True,True,100,4,4,0,2,2,0,2,2,0,4,4,0,0,100.0,0.0
17,1,3,1,14:45:28.196,14:47:23.112,114.916,True,True,100,5,5,0,2,2,0,3,3,0,4,4,0,0,100.0,0.0
17,3,1,1,14:14:43.812,14:17:46.072,182.26,False,False,75,3,2,1,2,2,0,1,0,1,4,4,0,0,66.66666666666667,33.33333333333333
17,3,1,2,14:17:46.072,14:21:59.767,253.695,False,False,100,3,3,0,2,2,0,1,1,0,4,4,0,0,100.0,0.0
17,3,1,3,14:21:59.767,14:28:30.420,390.653,False,False,100,3,3,0,2,2,0,1,1,0,4,4,0,0,100.0,0.0
17,3,1,4,14:28:30.420,14:31:57.052,206.632,False,False,100,0,0,0,0,0,0,0,0,0,2,2,0,0,0 planificado,0 planificado
17,3,2,1,14:31:57.052,14:37:24.618,327.566,False,False,100,3,3,0,2,2,0,1,1,0,4,4,0,0,100.0,0.0
17,3,3,1,14:37:24.618,14:43:56.411,391.793,False,False,100,4,4,0,2,2,0,2,2,0,4,4,0,0,100.0,0.0
17,3,1,1,14:43:56.411,14:44:49.452,53.041,False,False,75,0,0,0,0,0,0,0,0,0,1,0,1,1,0 planificado,0 planificado
18,1,1,1,14:41:30.786,14:44:38.466,187.68,False,False,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0 planificado,0 planificado
18,1,1,2,14:44:38.466,14:46:25.315,106.849,False,False,100,1,1,0,1,1,0,0,0,0,0,0,0,0,100.0,0.0
18,1,1,3,14:46:25.315,14:50:31.503,246.188,False,False,75,4,1,3,1,1,0,3,0,3,2,1,0,0,25.0,75.0
18,1,1,4,14:50:31.503,14:51:41.265,69.762,False,False,75,2,1,1,1,1,0,1,0,1,0,0,0,0,50.0,50.0
18,1,1,5,14:51:41.265,14:53:44.613,123.348,False,False,100,5,5,0,2,2,0,3,3,0,2,0,0,0,100.0,0.0
18,1,1,6,14:53:44.613,14:55:21.747,97.134,False,False,100,5,5,0,2,2,0,3,3,0,2,1,0,0,100.0,0.0
18,1,1,1,14:56:41.369,14:57:50.278,68.909,False,False,100,1,1,0,1,1,0,0,0,0,0,0,0,0,100.0,0.0
18,1,1,2,14:57:50.278,15:00:04.877,134.599,True,True,100,5,5,0,2,2,0,3,3,0,4,3,0,0,100.0,0.0
18,1,2,1,15:00:04.877,15:04:05.779,240.902,True,True,100,4,4,0,2,2,0,2,2,0,4,3,0,0,100.0,0.0
18,1,3,1,15:04:05.779,15:06:20.767,134.988,False,True,75,2,1,1,1,1,0,1,0,1,4,3,0,0,50.0,50.0
18,1,3,2,15:06:20.767,15:08:13.571,112.804,False,False,75,3,2,1,2,2,0,1,0,1,4,3,0,0,66.66666666666667,33.33333333333333
